city,lat,long,make,mileage,model,price,province,sepc,year
Burnaby,49.2433804,-122.9725459,Audi,109700,Audi S6,12990.0,British Columbia,Audi S6 AWD V8 Tiptronic 106K's Low Mileage,2000
Sherbrooke,45.403271,-71.889038,Audi,220407,Audi TT,7000.0,Québec,Audi TT QUATTRO 1.8L TURBO 225HP,2001
North York,43.7708175,-79.4132998,Audi,102003,Audi TT,15800.0,Ontario,Audi TT QUATTRO,2001
Calgary,51.02532675,-114.049868485806,Audi,165219,Audi TT,10888.0,Alberta,Audi TT 1.8L ,2002
Burnaby,49.2433804,-122.9725459,Audi,73300,Audi TT,12990.0,British Columbia,Audi TT Quattro AWD 6MT 1.8 Turbo 73K,2002
North York,43.7708175,-79.4132998,Audi,100606,Audi TT,9800.0,Ontario,Audi TT 180hp,2002
Calgary,51.02532675,-114.049868485806,Audi,113735,Audi RS,31888.0,Alberta,Audi RS 6 AVANT! VERY RARE!,2003
Thetford Mines,46.091329,-71.30127,Audi,104483,Audi TT,7495.0,Québec,Audi TT 2dr CONVERTIBLE,2003
Vancouver,49.2608724,-123.1139529,Audi,66070,Audi A8,15980.0,British Columbia,Audi A8 L 4.2 - 66,2004
Surrey,49.1913033,-122.8491439,Audi,152275,Audi A4,7888.0,British Columbia,Audi A4 1.8T,2005
Edmonton,53.535411,-113.507996,Audi,152018,Audi A4,8500.0,Alberta,Audi A4 1.8T Convertible,2005
Oakville,43.447436,-79.666672,Audi,247195,Audi A4,5950.0,Ontario,Audi A4 2.0T AVANT ,2006
Toronto,43.653963,-79.387207,Audi,203500,Audi A6,4200.0,Ontario,Audi A6 3.2 AVANT,2006
North York,43.7708175,-79.4132998,Audi,159899,Audi S8,16800.0,Ontario,Audi S8 QUATTRO,2007
Milton,43.513671,-79.882817,Audi,201973,Audi Q7,8795.0,Ontario,Audi Q7 4.2 Quattro Premium 7 Passenger Navi Camera Certif,2007
Calgary,51.02532675,-114.049868485806,Audi,158132,Audi A4,8900.0,Alberta,Audi A4 2.0T,2007
North York,43.7708175,-79.4132998,Audi,149628,Audi Q7,10399.0,Ontario,Audi Q7 3.6 QUATTRO,2007
North York,43.7708175,-79.4132998,Audi,160586,Audi S8,16800.0,Ontario,Audi S8 QUATTRO,2007
Toronto,43.653963,-79.387207,Audi,147777,Audi A4,9999.0,Ontario,Audi A4 2.0T ,2007
Niagara Falls,43.100983,-79.115295,Audi,170000,Audi A4,9700.0,Ontario,Audi A4 AWD,2007
Toronto,43.653963,-79.387207,Audi,185262,Audi Q7,7995.0,Ontario,Audi Q7 QUATTRO,2007
Mississauga,43.590338,-79.645729,Audi,213275,Audi A6,4745.0,Ontario,Audi A6 3.2L - Avant Quattro ,2007
Oakville,43.447436,-79.666672,Audi,179278,Audi S8,15995.0,Ontario,Audi S8 2007 Audi S8 - 4dr Sdn ,2007
Woodbridge,43.7848982,-79.5923855,Audi,86168,Audi RS,42888.0,Ontario,Audi RS 4 6sp man Qtro,2007
Burnaby,49.2433804,-122.9725459,Audi,163052,Audi S4,13800.0,British Columbia,Audi S4 AVANT QUATTRO,2007
Toronto,43.653963,-79.387207,Audi,129216,Audi Q7,12995.0,Ontario,Audi Q7 Premium ,2007
Scarborough,43.773077,-79.257774,Audi,298412,Audi A4,3995.0,Ontario,Audi A4 2.0T,2007
Toronto,43.653963,-79.387207,Audi,160097,Audi Q7,10998.0,Ontario,Audi Q7 Premium,2007
Nepean,45.2885815,-75.7339698,Audi,95273,Audi S6,17888.0,Ontario,Audi S6 5.2 Tip qtro Sdn,2008
Burlington,43.3248924,-79.7966835,Audi,61281,Audi A4,14988.0,Ontario,Audi A4 2.0T quattro,2008
Longueuil,45.5172382,-73.4467466,Audi,243000,Audi Q7,8795.0,Québec,Audi Q7 3.6L V6  Premium Toit Panoramique,2008
Toronto,43.653963,-79.387207,Audi,151020,Audi S8,19950.0,Ontario,Audi S8 5.2 ,2008
Hamilton,43.2425289,-79.9470423,Audi,123744,Audi S6,16988.0,Ontario,Audi S6 5.2L ,2008
Calgary,51.02532675,-114.049868485806,Audi,118819,Audi A4,8995.0,Alberta,Audi A4 2.0T SE,2008
North York,43.7708175,-79.4132998,Audi,100000,Audi RS,33988.0,Ontario,Audi RS 4 V8 6SPEED,2008
Mont-Royal,45.5086157,-73.5903112,Audi,142100,Audi A4,11900.0,Québec,Audi A4 CABRIO 3.2,2008
Edmonton,53.535411,-113.507996,Audi,141458,Audi A5,12850.0,Alberta,Audi A5 2008 Audi A5 - 2dr Cpe Auto QUATTRO,2008
North Vancouver,49.3207133,-123.0737831,Audi,117115,Audi TT,16995.0,British Columbia,Audi TT Cpe 3.2 6sp Man Qttro,2008
North York,43.7708175,-79.4132998,Audi,68000,Audi TT,16995.0,Ontario,Audi TT Roadster Auto 2.0T S line FrontTrak Navigation,2008
London,42.9537654,-81.2291529,Audi,265980,Audi Q7,6995.0,Ontario,Audi Q7 LEATHER ,2008
Ottawa,45.421106,-75.690308,Audi,171412,Audi A4,7995.0,Ontario,Audi A4 2.0T quattro with Tiptronic,2008
North York,43.7708175,-79.4132998,Audi,204746,Audi A3,4888.0,Ontario,Audi A3 FrontTrak S-LINE,2008
Toronto,43.653963,-79.387207,Audi,186332,Audi A4,7800.0,Ontario,Audi A4 3.2 VEHICLE SOLD AS-IS! INQUIRE TODAY! CREDIT CARD,2008
Drummondville,45.8864303,-72.5018764,Audi,146092,Audi A4,7489.0,Québec,Audi A4 S-LINE ,2008
Winnipeg,49.884017,-97.168579,Audi,105000,Audi TT,16600.0,Manitoba,Audi TT ,2008
Toronto,43.653963,-79.387207,Audi,165004,Audi A4,6288.0,Ontario,Audi A4 2.0T Quattro w,2008
Thornhill,43.8161477,-79.4245925,Audi,143785,Audi A4,8987.0,Ontario,Audi A4 2.0T ,2009
Scarborough,43.773077,-79.257774,Audi,189420,Audi Q5,9995.0,Ontario,Audi Q5 Premium,2009
North York,43.7708175,-79.4132998,Audi,138001,Audi S5,16800.0,Ontario,Audi S5 4.2 QUATTRO,2009
Milton,43.513671,-79.882817,Audi,234339,Audi A3,5495.0,Ontario,Audi A3 2.0T QUATTRO S-LINE HATCHBACK AUTO CERTIFIED 2009,2009
North Vancouver,49.3207133,-123.0737831,Audi,87800,Audi S8,33980.0,British Columbia,Audi S8 Quattro,2009
Trois-Rivières,46.3507999,-72.5571257,Audi,131556,Audi A4,10978.0,Québec,Audi A4 SLine AWD ,2009
Edmonton,53.535411,-113.507996,Audi,178694,Audi A4,10850.0,Alberta,Audi A4 2009 Audi A4 - 4dr Sdn Auto 2.0T quattro,2009
Mirabel,45.623402,-74.012489,Audi,193206,Audi A5,10977.0,Québec,Audi A5 3.2L QUATTRO SIÈGES CHAUFFANTS TOIT OUVRANT ,2009
Toronto,43.653963,-79.387207,Audi,145372,Audi TTS,18995.0,Ontario,Audi TTS Navigation ,2009
London,42.9537654,-81.2291529,Audi,217883,Audi TT,11986.0,Ontario,Audi TT S-Line Convertible V6-NAVI-Htd Two Tone Lthr Seats,2009
Montréal-Nord,45.5938992,-73.6376062,Audi,5,Audi TT,10995.0,Québec,Audi TT Cabriolet AT 2 portes 2.0T quattro,2009
Etobicoke,43.67145915,-79.5524920661167,Audi,91949,Audi TTS,19593.0,Ontario,Audi TTS 2.0T,2009
Markham,43.854336,-79.326782,Audi,163323,Audi Q7,9510.0,Ontario,Audi Q7 3.6 Prem Tip qtro,2009
North York,43.7708175,-79.4132998,Audi,189315,Audi A4,8800.0,Ontario,Audi A4 2.0T QUATTRO CABRIOLET,2009
Scarborough,43.773077,-79.257774,Audi,127000,Audi S5,15799.0,Ontario,Audi S5 TECHNIK,2009
Toronto,43.653963,-79.387207,Audi,166875,Audi A4,8900.0,Ontario,Audi A4 2.0T,2009
Thornhill,43.8161477,-79.4245925,Audi,143785,Audi A4,8987.0,Ontario,Audi A4 2.0T ,2009
Kitchener,43.453168,-80.494423,Audi,168500,Audi TTS,13180.0,Ontario,Audi TTS Coupe 2.0 Qtro,2009
Mississauga,43.590338,-79.645729,Audi,167885,Audi A4,8988.0,Ontario,Audi A4 3.2,2009
Calgary,51.02532675,-114.049868485806,Audi,177910,Audi A4,9888.0,Alberta,Audi A4 3.2 S-Line ,2009
Toronto,43.653963,-79.387207,Audi,175000,Audi Q7,11885.0,Ontario,Audi Q7 3.2 PREMIUM,2010
Hamilton,43.2425289,-79.9470423,Audi,239167,Audi Q7,11900.0,Ontario,Audi Q7 3.0L TDI Premium,2010
Calgary,51.02532675,-114.049868485806,Audi,74000,Audi Q7,22995.0,Alberta,Audi Q7 3.0L TDI Premium Plus S-Line AWD,2010
Ottawa,45.421106,-75.690308,Audi,153905,Audi Q5,11900.0,Ontario,Audi Q5 quattro 4dr 3.2L Premium-nav-camera,2010
Vaughan,43.820904,-79.5084,Audi,128061,Audi S5,19910.0,Ontario,Audi S5 quattro,2010
North Vancouver,49.3207133,-123.0737831,Audi,102818,Audi Q5,15995.0,British Columbia,Audi Q5 ,2010
Edmonton,53.535411,-113.507996,Audi,202617,Audi Q5,11850.0,Alberta,Audi Q5 2010 Audi Q5 - quattro 4dr 3.2L Premium,2010
Calgary,51.02532675,-114.049868485806,Audi,141226,Audi A4,12995.0,Alberta,Audi A4 2.0T PREMIUM AWD ,2010
Nobleton (vaughan),43.9244361,-79.5672218,Audi,121467,Audi S4,14499.0,Ontario,Audi S4 Premium,2010
Edmonton,53.535411,-113.507996,Audi,106651,Audi S5,19995.0,Alberta,Audi S5 4.2L,2010
Richmond,49.163168,-123.137414,Audi,168000,Audi Q5,13995.0,British Columbia,Audi Q5 2010 Audi Q5 - quattro 4dr 3.2L Premium,2010
Toronto,43.653963,-79.387207,Audi,105000,Audi A5,12995.0,Ontario,Audi A5 - S-Line Package AWD - Mint Condition - CALL NOW,2010
Edmonton,53.535411,-113.507996,Audi,171978,Audi Q7,13888.0,Alberta,Audi Q7 3.0L TDI Premium AWD,2010
Burnaby,49.2433804,-122.9725459,Audi,109241,Audi A5,15985.0,British Columbia,Audi A5 S-Line - heated seats,2010
Toronto,43.653963,-79.387207,Audi,100714,Audi A5,12800.0,Ontario,Audi A5 2.0T Nav ,2010
Saint-Bruno-De-Montarville,45.5256161,-73.3391798,Audi,212000,Audi A5,9498.0,Québec,Audi A5 Quattro,2010
Ste-Julie,45.5930624,-73.3395943,Audi,151567,Audi A4,10149.0,Québec,Audi A4 2.0T Premium ,2010
Kitchener,43.453168,-80.494423,Audi,152568,Audi Q5,9000.0,Ontario,Audi Q5 3.2 Prem Tip qtro,2010
Vaughan,43.820904,-79.5084,Audi,95152,Audi S5,21910.0,Ontario,Audi S5 SLINE ,2010
Vaughan,43.820904,-79.5084,Audi,165583,Audi Q5,9837.0,Ontario,Audi Q5 3.2 Tip qtro,2010
Edmonton,53.535411,-113.507996,Audi,93000,Audi A5,16995.0,Alberta,Audi A5 Quattro S Line,2010
North York,43.7708175,-79.4132998,Audi,154908,Audi A5,9980.0,Ontario,Audi A5 Coupe  6 Speed  2.0  Sunroof,2010
Toronto,43.653963,-79.387207,Audi,160601,Audi A4,9998.0,Ontario,Audi A4 2.0T Premium  Plus,2010
Richmond,49.163168,-123.137414,Audi,145800,Audi A4,9999.0,British Columbia,Audi A4 2010 Audi A4 - quattro 2.0T Navigation!,2010
Newmarket,44.056258,-79.461708,Audi,137603,Audi Q5,10923.0,Ontario,Audi Q5 3.2 Prem Tip qtro,2010
Burnaby,49.2433804,-122.9725459,Audi,99868,Audi TT,15800.0,British Columbia,Audi TT,2010
North York,43.7708175,-79.4132998,Audi,162861,Audi A4,8980.0,Ontario,Audi A4 Premium  AWD Navi Camera Leather Sunroof  2.0T,2010
Gatineau,45.457241,-75.723267,Audi,168272,Audi A4,8988.0,Québec,Audi A4 2.0T Premium,2010
Mississauga,43.590338,-79.645729,Audi,183000,Audi A4,8500.0,Ontario,Audi A4 Wagon,2010
Winnipeg,49.884017,-97.168579,Audi,136110,Audi Q5,17980.0,Manitoba,Audi Q5 PREMIUM PLUS  ,2010
Calgary,51.02532675,-114.049868485806,Audi,102544,Audi A5,15888.0,Alberta,Audi A5 2.0T ,2010
Toronto,43.653963,-79.387207,Audi,168912,Audi A4,8995.0,Ontario,Audi A4 2.0T,2010
Gatineau,45.457241,-75.723267,Audi,123776,Audi S5,19488.0,Québec,Audi S5 S5 PREMIUM LEATHER CONVERTIBLE AWD,2011
Langley,49.10647185,-122.550131156815,Audi,66427,Audi A6,16888.0,British Columbia,Audi A6 4dr Sdn quattro 3.0L Progressiv,2011
Concord,45.452798,-62.7905136,Audi,114000,Audi A6,13900.0,Nova Scotia,Audi A6 3.0L PROGRESSIV SLINE PKG NAVIGATION BACKUP CAMERA,2011
Laval,45.60558895,-73.7344173056906,Audi,140469,Audi Q7,16991.0,Québec,Audi Q7 3.0L TDI Premium AWD TOIT OUVRANT - A,2011
Toronto,43.653963,-79.387207,Audi,145000,Audi A8,19450.0,Ontario,Audi A8 4.2 Premium ,2011
Innisfil,44.3150892,-79.5461073,Audi,95214,Audi Q5,15999.0,Ontario,Audi Q5 3.2 Prem Tip Qtro,2011
Brampton,43.6858146,-79.7599337,Audi,108461,Audi Q7,19988.0,Ontario,Audi Q7 SPORT ,2011
Winnipeg,49.884017,-97.168579,Audi,104867,Audi S5,19888.0,Manitoba,Audi S5 Premium,2011
Ottawa,45.421106,-75.690308,Audi,65601,Audi A3,15987.0,Ontario,Audi A3 2.0T S-Tronic LEATHER HTD SEATS BOSE ALLOYS,2011
Montréal,45.4972159,-73.6103642,Audi,149252,Audi TTS,19900.0,Québec,Audi TTS TTS CABRIO 2.0T QUATTRO RECONSTRUIT,2011
London,42.9537654,-81.2291529,Audi,188652,Audi Q7,15988.0,Ontario,Audi Q7 quattro 4dr 3.0L TDI Premium,2011
Newmarket,44.056258,-79.461708,Audi,103000,Audi A5,15900.0,Ontario,Audi A5 2.0T Prem Plus Tip Qtro Cpe,2011
Winnipeg,49.884017,-97.168579,Audi,66000,Audi A4,14980.0,Manitoba,Audi A4 2.0T Premium Plus Quattro ,2011
Toronto,43.653963,-79.387207,Audi,145000,Audi Q7,17900.0,Ontario,Audi Q7 3.0 Sport S-Line Navigation. Rear Camera.7 Pass,2011
Edmonton,53.535411,-113.507996,Audi,135707,Audi Q7,18990.0,Alberta,Audi Q7 3.0 TSFI SUPERCAHRGED...ONE OWNER...MINT,2011
Toronto,43.653963,-79.387207,Audi,139000,Audi TTS,17900.0,Ontario,Audi TTS 2.0T ,2011
Toronto,43.653963,-79.387207,Audi,190650,Audi A8,16581.0,Ontario,Audi A8 4.0L QUATTRO MASSAGE SEATS NAVI  NIGHT VISON,2011
Windsor,42.30423,-83.029861,Audi,126851,Audi A5,14599.0,Ontario,Audi A5 2.0T Premium Plus,2011
Langley,49.10647185,-122.550131156815,Audi,141334,Audi Q5,14888.0,British Columbia,Audi Q5 2011 Audi Q5 - quattro 4dr 3.2L Premium,2011
Saint-Constant,45.3724897,-73.5704589,Audi,149869,Audi Q7,17999.0,Québec,Audi Q7 S-LINE QUATTRO TDI CUIR TOIT PANO MAGS,2011
Winnipeg,49.884017,-97.168579,Audi,152000,Audi TT,18800.0,Manitoba,Audi TT S-Line Quattro AWD - Bose & Htd Lthr!,2011
North York,43.7708175,-79.4132998,Audi,166000,Audi A8,17998.0,Ontario,Audi A8 L quattro,2011
North York,43.7708175,-79.4132998,Audi,29377,Audi A5,18800.0,Ontario,Audi A5 2.0T Quattro,2011
North York,43.7708175,-79.4132998,Audi,131389,Audi A8,17888.0,Ontario,Audi A8 NAVIGATION,2011
Edmonton,53.535411,-113.507996,Audi,141485,Audi S4,16999.0,Alberta,Audi S4 AWD PREMIUM Leather,2011
St-Hubert,46.501891,-64.025032,Audi,50320,Audi A4,13999.0,Prince Edward Island,Audi A4 PREMIUM PLUS QUATTRO CUIR TOIT,2011
Toronto,43.653963,-79.387207,Audi,106000,Audi A5,15888.0,Ontario,Audi A5 2.0L Premium Plus I NAVIGATION,2011
Saint-Basile-Le-Grand,45.526246,-73.2876515,Audi,125201,Audi A5,15888.0,Québec,Audi A5 PREMIUM ,2011
Calgary,51.02532675,-114.049868485806,Audi,139000,Audi A4,13995.0,Alberta,Audi A4 2.0T Premium Plus NAVI,2011
Guelph,43.533783,-80.2306337,Audi,122362,Audi A4,14995.0,Ontario,Audi A4 2.0T ANNIV. EDITION SUNROOF ,2011
Dollard-Des Ormeaux,45.48423,-73.8064547,Audi,118155,Audi Q5,14487.0,Québec,Audi Q5 2.0T Premium Plus ,2011
Boucherville,45.6050197,-73.4526144,Audi,11564,Audi A5,14495.0,Québec,Audi A5 2.0T Premium ,2011
Vaughan,43.820904,-79.5084,Audi,59533,Audi A5,17498.0,Ontario,Audi A5 2.0T Prem Plus Tip qtro Cab,2011
North Vancouver,49.3207133,-123.0737831,Audi,116629,Audi Q5,14999.0,British Columbia,Audi Q5 2.0T Premium Plus ,2011
Edmonton,53.535411,-113.507996,Audi,205585,Audi A5,10950.0,Alberta,Audi A5 2011 Audi A5 - 2dr Cpe Auto 2.0L Premium,2011
Montreal,45.4972159,-73.6103642,Audi,102960,Audi A4,10977.0,Québec,Audi A4 Quattro Tiptronic 2011 Audi A4 Quattro,2011
Ottawa,45.421106,-75.690308,Audi,86794,Audi Q7,21888.0,Ontario,Audi Q7 3.0 TDI Premium DIESEL ,2011
St-Léonard,45.58671,-73.5969488,Audi,166055,Audi A5,10995.0,Québec,Audi A5 2.0 L PREMIUM,2011
North York,43.7708175,-79.4132998,Audi,147000,Audi A6,10995.0,Ontario,Audi A6 S line quattro 3.0L Progressiv,2011
Scarborough,43.773077,-79.257774,Audi,136506,Audi A3,10777.0,Ontario,Audi A3 2.0T ,2011
Victoriaville,46.0573705,-71.9536674,Audi,114198,Audi S5,24995.0,Québec,Audi S5 3.0 ,2011
Ottawa,45.421106,-75.690308,Audi,52965,Audi Q7,24999.0,Ontario,Audi Q7 3.0 TDI Premium DIESEL ,2011
Mont-Royal,45.5086157,-73.5903112,Audi,119585,Audi Q7,25900.0,Québec,Audi Q7 S  LINE       LOADED,2011
Dorval,45.4453082,-73.7510888,Audi,120811,Audi A5,11990.0,Québec,Audi A5 AWD,2011
Saint-Constant,45.3724897,-73.5704589,Audi,161580,Audi A3,10999.0,Québec,Audi A3 HATCH TDI CUIR TOIT PANO MAGS,2011
Saint-Basile-Le-Grand,45.526246,-73.2876515,Audi,82734,Audi S5,21489.0,Québec,Audi S5 COUPE ,2011
Burlington,43.3248924,-79.7966835,Audi,185467,Audi A4,7988.0,Ontario,Audi A4 2.0T Premium quattro,2011
Ottawa,45.421106,-75.690308,Audi,85063,Audi Q7,22999.0,Ontario,Audi Q7 3.0 TDI Premium DIESEL ,2011
Ste-Julienne,45.9624229,-73.710013,Audi,220250,Audi A3,5722.0,Québec,Audi A3 2.0T S-LINE AWD TOIT PANO CUIR BLUETOOTH,2011
Boisbriand,45.6130352,-73.8386827,Audi,211276,Audi A4,5903.0,Québec,Audi A4 Quattro 2.0T Automatique 4x4,2011
Toronto,43.653963,-79.387207,Audi,93000,Audi Q7,21995.0,Ontario,Audi Q7 3.0T PREMIUM,2011
Toronto,43.653963,-79.387207,Audi,151350,Audi A8,21995.0,Ontario,Audi A8 Premium ,2011
North York,43.7708175,-79.4132998,Audi,168764,Audi A4,9888.0,Ontario,Audi A4 2.0T Premium WAGON S-LINE,2011
Toronto,43.653963,-79.387207,Audi,189000,Audi A4,9950.0,Ontario,Audi A4 2.0T Premium,2011
Mirabel,45.623402,-74.012489,Audi,153000,Audi A3,9950.0,Québec,Audi A3 ,2011
Magog,45.265463,-72.147903,Audi,119333,Audi A3,9665.0,Québec,Audi A3 2.0T ,2011
Toronto,43.653963,-79.387207,Audi,161000,Audi A4,8950.0,Ontario,Audi A4 2011 Audi A4 - 4dr Sdn Auto quattro 2.0T Premium,2011
Winnipeg,49.884017,-97.168579,Audi,101000,Audi Q5,20800.0,Manitoba,Audi Q5 2.0 Quattro Premium- Low Kms- Heated Seats,2011
North York,43.7708175,-79.4132998,Audi,149000,Audi Q7,19988.0,Ontario,Audi Q7 S LINE,2011
Exeter,43.3436295,-81.4798184,Audi,79707,Audi S5,19985.0,Ontario,Audi S5 4.2 Premium AWD,2011
Toronto,43.653963,-79.387207,Audi,130645,Audi A5,11999.0,Ontario,Audi A5 2.0L Premium,2011
Toronto,43.653963,-79.387207,Audi,142211,Audi S4,19995.0,Ontario,Audi S4 Premium Plus ,2011
Toronto,43.653963,-79.387207,Audi,156993,Audi A5,12988.0,Ontario,Audi A5 2.0L Premium - S-Line - Moonroof - Bluetooth - Ver,2011
London,42.9537654,-81.2291529,Audi,124000,Audi S5,19995.0,Ontario,Audi S5 Premium,2011
Markham,43.854336,-79.326782,Audi,173013,Audi A4,12999.0,Ontario,Audi A4 2.0T Premium,2011
Waterloo,43.466874,-80.524635,Audi,91000,Audi S4,20490.0,Ontario,Audi S4 3.0 Premium LOADED ,2011
Vaughan,43.820904,-79.5084,Audi,68531,Audi A8,20499.0,Ontario,Audi A8 4.2 Tip qtro Premium,2011
Waterloo,43.466874,-80.524635,Audi,112652,Audi S5,20400.0,Ontario,Audi S5 3.0 Premium ,2011
Richmond,49.163168,-123.137414,Audi,153800,Audi Q7,19999.0,British Columbia,Audi Q7 2011 Audi Q7 -7 passenger TDI Diesel! we finance,2011
Richmond,49.163168,-123.137414,Audi,146000,Audi Q7,19999.0,British Columbia,Audi Q7 2011 Audi Q7 TDI Diesel 7 passenger! Nav! DVD!,2011
Toronto,43.653963,-79.387207,Audi,137000,Audi Q7,19995.0,Ontario,Audi Q7 TDI PREMIUM PLUS S-LINE NAVIGATION,2012
Ottawa,45.421106,-75.690308,Audi,128681,Audi Q7,21999.0,Ontario,Audi Q7 3.0 TDI Premium Plus NO ACCIDENTS ,2012
Edmonton,53.535411,-113.507996,Audi,108178,Audi Q7,24500.0,Alberta,Audi Q7 3.0L TDI Premium 7 Pass AWD,2012
Calgary,51.02532675,-114.049868485806,Audi,95000,Audi A3,16995.0,Alberta,Audi A3 TDI Progressiv LEATHER ,2012
Thornhill,43.8161477,-79.4245925,Audi,114470,Audi Q7,19499.0,Ontario,Audi Q7 3.0L Premium,2012
Mont-Royal,45.5086157,-73.5903112,Audi,101546,Audi Q5,16995.0,Québec,Audi Q5 3.2L Premium V6 AWD S-Line,2012
Laval,45.60558895,-73.7344173056906,Audi,102150,Audi Q5,16992.0,Québec,Audi Q5 2.0 L PREMIUM PLUS quattro awd gps toit pano mags,2012
Ottawa,45.421106,-75.690308,Audi,115825,Audi Q7,23999.0,Ontario,Audi Q7 TDI quattro Premium CAM PANO LEATHER,2012
North Vancouver,49.3207133,-123.0737831,Audi,104651,Audi Q5,16994.0,British Columbia,Audi Q5 ,2012
Ottawa,45.421106,-75.690308,Audi,110275,Audi Q7,23999.0,Ontario,Audi Q7 TDI quattro Premium NAVI CAM LEATHER,2012
Edmonton,53.535411,-113.507996,Audi,133300,Audi S4,23995.0,Alberta,Audi S4 3.0 Premium,2012
Mont-Royal,45.5086157,-73.5903112,Audi,61114,Audi Q7,23995.0,Québec,Audi Q7 2012 Audi Q7 - quattro 4dr 3.0L TDI Premium,2012
Calgary,51.02532675,-114.049868485806,Audi,101000,Audi Q7,26995.0,Alberta,Audi Q7 3.0 TDI Premium Plus S-line AWD,2012
Calgary,51.02532675,-114.049868485806,Audi,37957,Audi Q7,35990.0,Alberta,Audi Q7 3.0T SPORT S-LINE 7 PASS,2012
Calgary,51.02532675,-114.049868485806,Audi,78782,Audi A5,19990.0,Alberta,Audi A5 2.0T PREMIUM S-LINE AWD,2012
North York,43.7708175,-79.4132998,Audi,131400,Audi A7,19950.0,Ontario,Audi A7 PREMIUM PLUS,2012
Trois-Rivières,46.3507999,-72.5571257,Audi,92154,Audi Q7,23495.0,Québec,Audi Q7 ,2012
Concord,45.452798,-62.7905136,Audi,95500,Audi A6,19950.0,Nova Scotia,Audi A6 3.0 PREMIUM PLUS BLIND SPOT NAVI BACKUP SUNROOF,2012
Richmond Hill,43.880078,-79.439392,Audi,158398,Audi Q7,19950.0,Ontario,Audi Q7 2012 Audi Q7 - quattro 4dr 3.0L TDI Premium Plus,2012
Concord,45.452798,-62.7905136,Audi,100020,Audi Q7,22888.0,Nova Scotia,Audi Q7 S-LINE TDI 7SEATERS NAVIGATION REAR CAM PANO ROOF,2012
Vaughan,43.820904,-79.5084,Audi,69842,Audi S4,22910.0,Ontario,Audi S4 ,2012
Toronto,43.653963,-79.387207,Audi,135233,Audi TT,22995.0,Ontario,Audi TT 2.0T S-line ,2012
Oakville,43.447436,-79.666672,Audi,111454,Audi A5,16450.0,Ontario,Audi A5 2.0T QUATTRO ,2012
Edmonton,53.535411,-113.507996,Audi,141588,Audi Q7,23500.0,Alberta,Audi Q7 3.0L TDI Premium 7Pass AWD,2012
Calgary,51.02532675,-114.049868485806,Audi,88224,Audi A4,16888.0,Alberta,Audi A4 2.0T QUATTRO! NO CLAIMS!,2012
Ottawa,45.421106,-75.690308,Audi,63194,Audi A3,16888.0,Ontario,Audi A3 2.0 TDI Progressiv,2012
Richmond Hill,43.880078,-79.439392,Audi,81766,Audi A3,16850.0,Ontario,Audi A3 S TRONIC,2012
Ottawa,45.421106,-75.690308,Audi,141906,Audi A6,16679.0,Ontario,Audi A6 3.0T Premium Quattro,2012
Edmonton,53.535411,-113.507996,Audi,157168,Audi Q7,22500.0,Alberta,Audi Q7 3.0L TDI Premium Plus AWD,2012
Oakville,43.447436,-79.666672,Audi,69250,Audi A3,16495.0,Ontario,Audi A3 TDI Progressiv ,2012
Saint-Jean-Sur-Richelieu,45.3056879,-73.2533401,Audi,61481,Audi S5,19986.0,Québec,Audi S5 METALL ,2012
Vaughan,43.820904,-79.5084,Audi,76000,Audi A3,13998.0,Ontario,Audi A3 TDI Progressiv PANORAMIC SUNROOF 3 CHOOSE PRE-OWNE,2012
Vaughan,43.820904,-79.5084,Audi,91236,Audi A6,19908.0,Ontario,Audi A6 3.0T quattro w Tip Premium Plus,2012
Concord,45.452798,-62.7905136,Audi,137960,Audi Q7,20888.0,Nova Scotia,Audi Q7 3.0 TDI Premium Plus,2012
Concord,45.452798,-62.7905136,Audi,135373,Audi A7,20888.0,Nova Scotia,Audi A7 Premium,2012
North York,43.7708175,-79.4132998,Audi,116696,Audi A7,20800.0,Ontario,Audi A7 3.0T quattro Premium,2012
Vaudreuil-Dorion,45.3971509,-74.0254577,Audi,58000,Audi A5,18995.0,Québec,Audi A5 S-LINE ,2012
Toronto,43.653963,-79.387207,Audi,121865,Audi A6,17999.0,Ontario,Audi A6 3.0T Premium,2012
Calgary,51.02532675,-114.049868485806,Audi,122122,Audi Q7,27888.0,Alberta,Audi Q7 3.0 Premium Plus S-Line,2012
Vaughan,43.820904,-79.5084,Audi,96551,Audi A8,27910.0,Ontario,Audi A8 L quattro,2012
Kelowna,49.889326,-119.498291,Audi,76820,Audi A5,20500.0,British Columbia,Audi A5 2.0L Sline Manual #Sline #Manual,2012
Toronto,43.653963,-79.387207,Audi,94000,Audi Q7,20999.0,Ontario,Audi Q7 TDI PREMIUM PLUS S-LINE NAVIGATION,2012
Winnipeg,49.884017,-97.168579,Audi,90066,Audi A4,20980.0,Manitoba,Audi A4 2.0T  ,2012
Edmonton,53.535411,-113.507996,Audi,102333,Audi Q5,18900.0,Alberta,Audi Q5 2.0T Prem Plus Tip Qtro,2012
Beauport,46.8594456,-71.1932496,Audi,91313,Audi Q5,20987.0,Québec Québec,Audi Q5 2.0T Premium,2012
Winnipeg,49.884017,-97.168579,Audi,79980,Audi A4,20991.0,Manitoba,Audi A4 2.0T Premium ,2012
Toronto,43.653963,-79.387207,Audi,107000,Audi A6,18950.0,Ontario,Audi A6 4dr Sdn quattro 3.0T Premium Plus,2012
